timestamp,lwir_source,rgb_source,class_id,class_name,confidence,lwir_bbox_xyxy,rgb_bbox_xyxy
1745445737.0879538,/media/sauron/SAURON/Out/image_00016211.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067818.png,0,AOI,0.7296,"[198, 0, 254, 23]","[2471, 2866, 2829, 2999]"
1745445740.141333,/media/sauron/SAURON/Out/image_00016284.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067819.png,0,AOI,0.8350,"[196, 15, 250, 53]","[2496, 2690, 2842, 2913]"
1745445742.5495682,/media/sauron/SAURON/Out/image_00016358.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067820.png,0,AOI,0.8383,"[192, 48, 245, 90]","[2528, 2473, 2868, 2719]"
1745445744.534394,/media/sauron/SAURON/Out/image_00016432.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067821.png,0,AOI,0.8422,"[188, 85, 244, 130]","[2535, 2239, 2893, 2502]"
1745445746.682681,/media/sauron/SAURON/Out/image_00016506.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067822.png,0,AOI,0.8382,"[184, 125, 243, 172]","[2541, 1993, 2919, 2268]"
1745445748.2732797,/media/sauron/SAURON/Out/image_00016579.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067823.png,0,AOI,0.8409,"[181, 166, 242, 218]","[2548, 1723, 2938, 2028]"
1745445749.8722117,/media/sauron/SAURON/Out/image_00016653.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067824.png,0,AOI,0.8337,"[178, 211, 244, 267]","[2535, 1436, 2957, 1764]"
1745445751.7304218,/media/sauron/SAURON/Out/image_00016727.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067825.png,0,AOI,0.8399,"[179, 257, 245, 313]","[2528, 1167, 2951, 1495]"
1745445753.784184,/media/sauron/SAURON/Out/image_00016800.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067826.png,0,AOI,0.8528,"[180, 301, 247, 359]","[2516, 897, 2944, 1237]"
1745445755.789383,/media/sauron/SAURON/Out/image_00016874.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067827.png,0,AOI,0.8506,"[184, 346, 248, 401]","[2509, 651, 2919, 973]"
1745445757.6937144,/media/sauron/SAURON/Out/image_00016948.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067828.png,0,AOI,0.8435,"[190, 389, 249, 438]","[2503, 434, 2880, 721]"
1745445759.272029,/media/sauron/SAURON/Out/image_00017022.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067829.png,0,AOI,0.8511,"[197, 426, 250, 469]","[2496, 252, 2836, 504]"
1745445760.8518555,/media/sauron/SAURON/Out/image_00017095.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067830.png,0,AOI,0.8381,"[200, 461, 253, 498]","[2477, 83, 2816, 299]"
1745445762.6726987,/media/sauron/SAURON/Out/image_00017169.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067831.png,0,AOI,0.7251,"[205, 493, 254, 512]","[2471, 0, 2784, 112]"
1745445857.1375399,/media/sauron/SAURON/Out/image_00020856.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067881.png,0,AOI,0.8532,"[209, 478, 261, 511]","[2426, 6, 2759, 200]"
1745271855.548337,/media/sauron/SAURON/Out/image_00006183.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067682.png,0,AOI,0.7498,"[185, 0, 240, 27]","[2560, 2842, 2912, 2999]"
1745271857.3988335,/media/sauron/SAURON/Out/image_00006257.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067683.png,0,AOI,0.8426,"[183, 22, 235, 58]","[2592, 2661, 2925, 2872]"
1745271859.3115335,/media/sauron/SAURON/Out/image_00006331.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067684.png,0,AOI,0.8341,"[177, 52, 230, 96]","[2624, 2438, 2964, 2696]"
1745271861.1158562,/media/sauron/SAURON/Out/image_00006404.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067685.png,0,AOI,0.8340,"[171, 87, 230, 135]","[2624, 2209, 3002, 2491]"
1745271862.9050686,/media/sauron/SAURON/Out/image_00006478.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067686.png,0,AOI,0.8415,"[166, 126, 229, 179]","[2631, 1952, 3034, 2262]"
1745271864.7602983,/media/sauron/SAURON/Out/image_00006552.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067687.png,0,AOI,0.8384,"[165, 171, 228, 223]","[2637, 1694, 3040, 1999]"
1745271866.574881,/media/sauron/SAURON/Out/image_00006626.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067688.png,0,AOI,0.8423,"[164, 215, 227, 269]","[2644, 1424, 3047, 1741]"
1745271868.410024,/media/sauron/SAURON/Out/image_00006699.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067689.png,0,AOI,0.8404,"[164, 260, 228, 316]","[2637, 1149, 3047, 1477]"
1745271870.4777896,/media/sauron/SAURON/Out/image_00006773.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067690.png,0,AOI,0.8401,"[167, 306, 229, 361]","[2631, 885, 3028, 1208]"
1745271872.3079984,/media/sauron/SAURON/Out/image_00006847.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067691.png,0,AOI,0.8492,"[169, 349, 231, 404]","[2618, 633, 3015, 956]"
1745271874.424311,/media/sauron/SAURON/Out/image_00006921.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067692.png,0,AOI,0.8421,"[175, 391, 233, 440]","[2605, 422, 2976, 709]"
1745271876.235734,/media/sauron/SAURON/Out/image_00006994.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067693.png,0,AOI,0.8349,"[181, 429, 236, 471]","[2586, 241, 2938, 487]"
1745271877.971162,/media/sauron/SAURON/Out/image_00007068.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067694.png,0,AOI,0.8424,"[186, 462, 239, 500]","[2567, 71, 2906, 293]"
1745271879.865419,/media/sauron/SAURON/Out/image_00007142.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067695.png,0,AOI,0.6931,"[194, 494, 240, 512]","[2560, 0, 2855, 106]"
1745271972.546498,/media/sauron/SAURON/Out/image_00010828.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067745.png,0,AOI,0.8542,"[194, 472, 246, 508]","[2522, 24, 2855, 235]"
1745271974.3568218,/media/sauron/SAURON/Out/image_00010902.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067746.png,0,AOI,0.8413,"[187, 437, 243, 480]","[2541, 188, 2900, 440]"
1745271976.2850676,/media/sauron/SAURON/Out/image_00010976.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067747.png,0,AOI,0.8348,"[183, 401, 241, 448]","[2554, 375, 2925, 651]"
1745271978.1002405,/media/sauron/SAURON/Out/image_00011049.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067748.png,0,AOI,0.8448,"[176, 361, 239, 414]","[2567, 575, 2970, 885]"
1745271980.1043804,/media/sauron/SAURON/Out/image_00011123.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067749.png,0,AOI,0.8430,"[172, 319, 236, 373]","[2586, 815, 2996, 1131]"
1745271981.9658356,/media/sauron/SAURON/Out/image_00011197.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067750.png,0,AOI,0.8389,"[171, 274, 234, 328]","[2599, 1079, 3002, 1395]"
1745271983.5657148,/media/sauron/SAURON/Out/image_00011271.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067751.png,0,AOI,0.8387,"[170, 227, 234, 281]","[2599, 1354, 3008, 1670]"
1745271985.5632963,/media/sauron/SAURON/Out/image_00011344.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067752.png,0,AOI,0.8417,"[170, 182, 234, 234]","[2599, 1629, 3008, 1934]"
1745271987.7664058,/media/sauron/SAURON/Out/image_00011418.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067753.png,0,AOI,0.8448,"[174, 140, 233, 188]","[2605, 1899, 2983, 2180]"
1745271990.0552263,/media/sauron/SAURON/Out/image_00011492.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067754.png,0,AOI,0.8362,"[178, 98, 235, 144]","[2592, 2157, 2957, 2426]"
1745271992.2264042,/media/sauron/SAURON/Out/image_00011566.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067755.png,0,AOI,0.8299,"[183, 60, 238, 102]","[2573, 2403, 2925, 2649]"
1745271994.1670597,/media/sauron/SAURON/Out/image_00011639.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067756.png,0,AOI,0.8426,"[188, 27, 241, 66]","[2554, 2614, 2893, 2842]"
1745271995.750524,/media/sauron/SAURON/Out/image_00011713.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067757.png,0,AOI,0.8025,"[192, 0, 245, 34]","[2528, 2801, 2868, 2999]"
1745445807.1450381,/media/sauron/SAURON/Out/image_00016211.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067818.png,0,AOI,0.7296,"[198, 0, 254, 23]","[2471, 2866, 2829, 2999]"
1745445809.491787,/media/sauron/SAURON/Out/image_00016284.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067819.png,0,AOI,0.8350,"[196, 15, 250, 53]","[2496, 2690, 2842, 2913]"
1745445811.4800892,/media/sauron/SAURON/Out/image_00016358.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067820.png,0,AOI,0.8383,"[192, 48, 245, 90]","[2528, 2473, 2868, 2719]"
1745445813.6189144,/media/sauron/SAURON/Out/image_00016432.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067821.png,0,AOI,0.8422,"[188, 85, 244, 130]","[2535, 2239, 2893, 2502]"
1745445815.5607975,/media/sauron/SAURON/Out/image_00016506.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067822.png,0,AOI,0.8382,"[184, 125, 243, 172]","[2541, 1993, 2919, 2268]"
1745445817.461388,/media/sauron/SAURON/Out/image_00016579.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067823.png,0,AOI,0.8409,"[181, 166, 242, 218]","[2548, 1723, 2938, 2028]"
1745445819.4680984,/media/sauron/SAURON/Out/image_00016653.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067824.png,0,AOI,0.8337,"[178, 211, 244, 267]","[2535, 1436, 2957, 1764]"
1745445821.8207188,/media/sauron/SAURON/Out/image_00016727.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067825.png,0,AOI,0.8399,"[179, 257, 245, 313]","[2528, 1167, 2951, 1495]"
1745445823.7577083,/media/sauron/SAURON/Out/image_00016800.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067826.png,0,AOI,0.8528,"[180, 301, 247, 359]","[2516, 897, 2944, 1237]"
1745445825.566082,/media/sauron/SAURON/Out/image_00016874.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067827.png,0,AOI,0.8506,"[184, 346, 248, 401]","[2509, 651, 2919, 973]"
1745445827.5653875,/media/sauron/SAURON/Out/image_00016948.jpg,/media/sauron/SAURON/forDistro/1Downlooking/RGB/image_2931067828.png,0,AOI,0.8435,"[190, 389, 249, 438]","[2503, 434, 2880, 721]"
